trade_id,timestamp,type,price,quantity,pnl,pnl_percent,reason,capital_after,entry_price,exit_price,volume,volume_ratio,rsi,volatility_expansion
1,2026-04-16 10:10:00,ENTRY,1.176,850.3401360544218,0.0,0.0,ACELERAÇÃO DETECTADA,0.0,1.176,,75135.32,6.373085818725139,76.00000000000023,1.219963031423289
1,2026-04-18 15:35:00,EXIT,1.127,850.3401360544218,-41.66666666666663,-0.04166666666666661,SL -4.17%,958.3333333333334,1.176,1.127,11144.82,0.988662883044304,6.249999999999389,
2,2026-04-25 01:20:00,ENTRY,1.27,754.5931758530184,0.0,0.0,ACELERAÇÃO DETECTADA,0.0,1.27,,433511.56,4.931757529980033,88.67924528301887,1.3790713790713771
2,2026-04-25 03:15:00,EXIT,1.481,754.5931758530184,159.21916010498683,0.16614173228346463,TP 16.61%,1117.5524934383202,1.27,1.481,493771.45,1.7178352924444484,86.34812286689414,
3,2026-04-26 10:30:00,ENTRY,1.466,762.3141155786632,0.0,0.0,ACELERAÇÃO DETECTADA,0.0,1.466,,338801.52,8.697384589073781,80.6451612903227,1.4507772020725402
3,2026-04-26 10:45:00,EXIT,1.405,762.3141155786632,-46.50116105029838,-0.04160982264665753,SL -4.16%,1071.0513323880218,1.466,1.405,46901.72,0.9231051496494407,46.97986577181211,
4,2026-04-26 18:00:00,ENTRY,1.446,740.6993999917164,0.0,0.0,ACELERAÇÃO DETECTADA,0.0,1.446,,29067.84,2.361046130813137,88.0,1.2415654520917656
4,2026-04-26 21:20:00,EXIT,1.382,740.6993999917164,-47.40476159946979,-0.04426002766251733,SL -4.43%,1023.646570788552,1.446,1.382,77619.42,2.864346161145031,20.25316455696199,
5,2026-04-27 10:10:00,ENTRY,1.423,719.3580961268813,0.0,0.0,ACELERAÇÃO DETECTADA,0.0,1.423,,156164.55,5.808541528355484,79.48717948717949,1.2248468941382364
5,2026-04-28 02:00:00,EXIT,1.455,719.3580961268813,23.01945907606023,0.022487702037948018,Trailing 2.25%,1046.6660298646123,1.423,1.455,50414.39,1.0956326422197928,15.126050420168085,
6,2026-04-29 00:55:00,ENTRY,1.538,680.5370805361588,0.0,0.0,ACELERAÇÃO DETECTADA,0.0,1.538,,220242.27,6.930870004665638,84.44444444444444,1.4089347079037837
6,2026-04-29 04:25:00,EXIT,1.472,680.5370805361588,-44.91544731538659,-0.04291287386215868,SL -4.29%,1001.7505825492257,1.538,1.472,18769.19,1.1358039961874793,24.4444444444445,
